SY_LSOA,LSOA11CD_code,"Agriculture, forestry & fishing","Mining, quarrying & utilities",Manufacturing,Construction,Motor trades,Wholesale,Retail,Transport & storage (inc postal),Accommodation & food services,Information & communication,Financial & insurance,Property,"Professional, scientific & technical",Business administration & support services,Public administration & defence,Education,Health,"Arts, entertainment, recreation & other services"
Sheffield 001A,E01008144,0,0,1000,100,10,10,400,50,125,15,0,100,50,75,20,10,175,50
Sheffield 001B,E01008145,0,0,0,10,0,0,20,0,15,0,0,0,5,10,0,200,0,0
Sheffield 001C,E01008148,0,10,0,15,0,0,0,0,10,0,0,0,0,0,0,40,0,0
Sheffield 001D,E01008149,0,0,0,5,0,0,10,0,0,0,0,0,5,0,0,0,0,0
Sheffield 001E,E01008150,0,0,0,5,15,0,0,0,0,0,0,0,5,0,0,0,600,0
Sheffield 002A,E01008142,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,10
Sheffield 002B,E01008143,0,10,10,100,15,15,20,5,25,20,10,10,30,5,10,40,0,0
Sheffield 002C,E01008146,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10
Sheffield 002D,E01008147,0,0,10,5,0,0,0,0,20,0,0,0,0,5,0,30,10,20
Sheffield 003A,E01007888,0,0,0,20,0,0,0,0,0,30,0,0,5,10,0,0,0,0
Sheffield 003B,E01007892,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40,40,0
Sheffield 003C,E01007893,0,0,0,10,5,0,5,0,30,0,0,0,10,10,0,0,0,10
Sheffield 003D,E01007898,0,0,0,35,0,0,10,0,15,0,0,0,75,40,0,40,100,125
Sheffield 003E,E01007899,0,0,0,10,0,0,0,10,0,0,0,0,15,0,0,0,0,0
Sheffield 003F,E01007900,0,0,0,5,0,0,35,0,15,0,0,0,0,0,0,30,40,10
Sheffield 003G,E01007901,0,0,0,0,0,0,10,0,0,0,0,0,15,5,0,30,0,0
Sheffield 004A,E01007887,0,0,0,10,0,0,40,0,0,0,0,0,10,5,0,0,0,0
Sheffield 004B,E01007889,0,10,500,400,10,900,40,400,25,400,150,25,500,700,200,75,100,25
Sheffield 004C,E01007890,0,20,0,5,0,0,0,0,0,0,0,0,15,0,0,40,0,10
Sheffield 004D,E01007891,0,0,0,15,10,0,0,0,20,5,0,0,0,0,0,200,10,5
Sheffield 004E,E01007894,0,0,10,5,20,0,300,30,150,0,20,20,45,20,10,0,150,45
Sheffield 004F,E01007895,0,0,0,5,0,0,10,40,0,0,0,0,5,0,0,0,250,0
Sheffield 004G,E01007896,0,0,5,25,0,0,0,0,0,0,0,0,5,0,0,50,0,20
Sheffield 005A,E01007897,0,0,15,25,0,0,0,0,20,0,0,0,10,0,0,50,0,0
Sheffield 005B,E01008134,0,0,0,25,10,0,10,0,50,0,0,0,5,10,0,40,20,20
Sheffield 005C,E01008135,0,250,900,150,100,150,250,450,125,15,0,10,100,350,0,50,175,15
Sheffield 005D,E01008137,0,0,5,10,0,0,0,0,10,20,0,0,15,5,0,0,10,5
Sheffield 005E,E01008141,0,0,0,20,0,0,25,0,10,0,0,0,10,0,0,0,100,20
Sheffield 006A,E01008053,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Sheffield 006B,E01008056,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,10,0
Sheffield 006C,E01008058,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,100,45,10
Sheffield 006D,E01008138,0,0,0,5,0,0,20,10,10,0,0,0,5,5,20,50,0,5
Sheffield 006E,E01008139,0,0,0,30,0,0,0,0,25,0,0,0,0,15,150,10,0,0
Sheffield 007A,E01007856,0,20,100,300,100,20,0,20,10,0,0,0,20,0,0,0,0,0
Sheffield 007B,E01008054,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0
Sheffield 007C,E01008055,0,0,35,100,0,0,5,5,0,0,0,30,0,50,0,0,100,0
Sheffield 007D,E01008057,0,0,0,0,0,0,15,5,0,0,0,0,0,10,0,150,10,10
Sheffield 008A,E01008126,0,0,20,40,0,0,0,0,25,5,0,0,5,10,0,250,0,0
Sheffield 008C,E01008128,0,0,10,40,0,0,30,0,75,20,0,5,30,50,0,0,20,35
Sheffield 008D,E01008136,0,0,0,30,0,0,0,0,20,0,0,0,5,0,0,50,0,0
Sheffield 008E,E01008140,0,0,0,15,0,5,15,5,30,10,0,0,10,20,0,100,20,0
Sheffield 008F,E01033275,0,0,0,10,0,0,15,0,0,10,0,0,5,0,0,5,0,0
Sheffield 008G,E01033280,0,0,250,10,0,30,30,0,0,0,0,0,10,25,0,0,200,0
Sheffield 009A,E01008085,0,0,0,0,0,0,10,0,0,0,0,0,0,40,0,50,20,0
Sheffield 009B,E01008086,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Sheffield 009C,E01008116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield 009D,E01008117,0,0,0,0,0,0,40,0,10,0,0,0,0,0,0,150,15,10
Sheffield 009E,E01008118,0,0,0,0,0,0,300,0,40,0,0,0,0,0,0,150,10,0
Sheffield 009F,E01008119,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,40,0
Sheffield 009G,E01008125,0,0,0,15,0,0,0,0,10,0,0,0,10,40,0,100,75,5
Sheffield 010A,E01007849,0,0,0,0,10,10,35,0,15,0,10,0,10,20,0,50,150,75
Sheffield 010B,E01007857,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,200,20,0
Sheffield 010C,E01008059,0,0,0,10,0,0,20,50,10,0,0,0,0,0,0,0,0,5
Sheffield 010D,E01008060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0
Sheffield 011A,E01008061,10,0,0,10,0,0,75,0,30,0,0,0,10,0,0,50,0,10
Sheffield 011B,E01008063,0,0,0,0,0,0,10,0,5,0,0,0,0,0,20,0,20,10
Sheffield 011E,E01033277,0,0,0,0,0,10,5,5,5,0,0,0,0,15,0,100,0,10
Sheffield 012A,E01008087,0,0,0,25,5,15,5,30,0,0,0,0,15,5,0,0,50,0
Sheffield 012B,E01008088,0,0,0,5,20,0,200,0,100,0,0,0,20,0,0,30,30,50
Sheffield 012C,E01008090,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,100,30,0
Sheffield 012D,E01008092,0,0,50,0,0,10,30,50,0,0,0,0,50,0,0,0,50,0
Sheffield 012E,E01008122,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0
Sheffield 012F,E01008124,0,0,0,0,0,0,20,0,30,0,0,0,0,5,50,0,0,0
Sheffield 013A,E01007848,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,50,175,0
Sheffield 013B,E01007851,0,0,0,0,0,0,30,20,15,0,0,10,0,30,0,0,100,15
Sheffield 013C,E01007947,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0
Sheffield 013D,E01007948,0,0,0,10,0,0,20,0,15,0,10,0,20,0,0,100,10,10
Sheffield 013E,E01008062,0,0,0,0,0,0,75,5,30,0,0,0,0,0,0,0,0,0
Sheffield 014A,E01007847,0,0,0,10,0,0,0,5,0,0,0,0,0,10,0,0,0,0
Sheffield 014B,E01007850,0,0,10,5,0,0,0,10,10,0,0,0,0,20,0,150,0,0
Sheffield 014C,E01007852,0,0,500,10,20,50,20,30,35,20,0,30,225,50,0,50,10,20
Sheffield 014D,E01007853,0,0,0,5,0,0,0,5,0,0,0,10,5,0,0,30,40,0
Sheffield 014E,E01007854,0,0,200,175,35,250,50,10,25,35,10,0,125,225,0,50,300,45
Sheffield 014F,E01007855,0,0,45,10,20,10,5,5,0,0,0,0,0,0,0,0,200,10
Sheffield 015A,E01007941,0,0,30,0,0,0,0,5,0,5,0,0,5,0,0,100,800,0
Sheffield 015B,E01007945,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,50,20,0
Sheffield 015C,E01007946,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Sheffield 015D,E01007950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
Sheffield 015E,E01008123,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,100,150,10
Sheffield 016A,E01007987,0,0,10,0,0,0,0,0,10,0,0,0,0,5,0,40,150,0
Sheffield 016B,E01007988,0,0,5,0,0,0,0,0,15,5,0,0,5,0,0,50,0,10
Sheffield 016C,E01007989,0,0,0,5,0,0,30,10,35,5,0,0,5,100,0,0,20,15
Sheffield 016D,E01007991,0,0,5,10,0,0,40,0,10,0,0,0,10,15,0,0,0,40
Sheffield 017A,E01007995,0,0,50,35,0,20,50,0,20,0,0,30,30,15,0,30,35,20
Sheffield 017B,E01008089,0,20,500,125,30,175,400,50,75,20,0,5,15,50,20,30,0,20
Sheffield 017C,E01008091,0,10,500,35,25,225,45,0,30,20,0,0,40,15,0,50,10,1000
Sheffield 017D,E01008093,0,10,700,75,75,15,600,5,250,45,45,10,35,250,100,300,20,350
Sheffield 018A,E01007903,0,20,100,400,0,150,10,2250,50,400,150,5,400,125,300,400,40,10
Sheffield 018B,E01007904,10,100,1500,200,225,600,100,450,450,600,75,75,250,1500,600,50,300,500
Sheffield 018C,E01007913,0,100,150,20,150,350,5000,75,1250,175,800,10,400,900,150,50,10,200
Sheffield 018D,E01007914,0,0,300,0,0,100,5,200,0,0,0,0,0,0,0,100,10,0
Sheffield 019A,E01007870,0,0,20,150,0,20,20,5,0,30,0,0,10,150,0,100,150,0
Sheffield 019B,E01007871,0,0,10,5,0,0,0,25,10,0,0,0,0,0,0,0,40,0
Sheffield 019C,E01007943,0,0,0,10,0,0,50,0,40,0,0,0,0,0,0,100,20,15
